K,n_soc,n_gmm_systems,n_job_families,ARI,NMI,AMI
2,296,2,22,0.07667184085677851,0.24516817727008752,0.22781723598391662
3,296,3,22,0.11663723928564006,0.31186665058503754,0.28189386481060724
4,296,4,22,0.1044711664297838,0.35242314145080555,0.31124732952035034
5,296,5,22,0.1140333617437421,0.37959823354758376,0.328814709781915
6,296,6,22,0.14737630501733498,0.39078878684627516,0.33195681458151394
