system,job_family,weight,share_within_system
0,Production,17.978502975970436,29.5
0,Construction and Extraction,16.299684052465118,26.7
0,"Installation, Maintenance, and Repair",15.355476272051654,25.2
0,Transportation and Material Moving,6.546994627152894,10.7
0,Other (4 families),4.801120266999696,7.8
1,Office and Administrative Support,32.05650164633429,21.5
1,Healthcare Practitioners and Technical,19.28959809737666,13.0
1,Business and Financial Operations,14.983009203570061,10.1
1,Management,12.683992569506712,8.5
1,Other (16 families),69.92998130226363,47.0
2,Architecture and Engineering,10.77076529400706,28.0
2,Computer and Mathematical,9.487678407064095,24.7
2,Management,5.7070118655003235,14.9
2,Business and Financial Operations,4.35557249860522,11.3
2,Other (6 families),8.077779594264433,21.1
3,Production,17.351162349854345,62.8
3,"Installation, Maintenance, and Repair",4.911524540699059,17.8
3,Transportation and Material Moving,2.7757150934279147,10.0
3,Construction and Extraction,0.9522882727493621,3.4
3,Other (2 families),1.654407291348181,6.0
