K,n_systems,flow_within,flow_between,within_median_uR,within_p25_uR,within_p75_uR,within_w_sum,crossing_median_uR,crossing_p25_uR,crossing_p75_uR,crossing_w_sum,cost_ratio
2,2,74.31497560822487,25.685024391775137,0.814459806540134,0.48806582716074287,1.2521664293110446,205.08612130361217,1.9263913319471873,1.3524762099376744,2.5648058626676002,70.88264491759895,2.365238058991019
3,3,69.47382514806814,30.526174851931852,0.806321573201865,0.4821032906472951,1.2519216094602208,191.72605810780522,1.7894646404999657,1.1209077563188632,2.4027743469372393,84.24270811340593,2.2192940136701114
4,4,61.958761559537514,38.041238440462486,0.7906670462373425,0.46278083986488516,1.201961517320589,170.98682984179766,1.672160279155374,1.0269832506415961,2.2848584979112228,104.98193637941347,2.114872862240707
5,5,60.22061524007051,39.77938475992949,0.7872705660069017,0.46031308430939166,1.200991682339316,166.1900888888452,1.631176707517346,0.990638956923208,2.2655738404085928,109.77867733236596,2.0719391502095688
6,6,46.03420551724871,53.96579448275129,0.7278560048004798,0.4355070740152679,1.1327863081962084,127.04002900568798,1.4366028081704494,0.8496024349345644,2.1049756054597113,148.92873721552314,1.9737459039913416
