k3_system,n_soc,total_outflow,share_of_total,mean_xi_deg,mean_chi,top_occupations
0,148,135.34,49.0,329.9,0.311,"Opticians, Dispensing (29-2081); Library Technicians (25-4031); Nurse Practitioners (29-1171); First-Line Supervisors of Police and Detectives (33-1012); Audiologists (29-1181); Chiropractors (29-1011); Radiation Therapists (29-1124); Optometrists (29-1041)"
1,113,107.06,38.8,187.1,0.446,"Mail Clerks and Mail Machine Operators, Except Postal Service (43-9051); Helpers--Installation, Maintenance, and Repair Workers (49-9098); Laundry and Dry-Cleaning Workers (51-6011); Automotive Glass Installers and Repairers (49-3022); Postal Service Mail Sorters, Processors, and Processing Machine Operators (43-5053); Plasterers and Stucco Masons (47-2161); Elevator and Escalator Installers and Repairers (47-4021); Fence Erectors (47-4031)"
2,35,33.57,12.2,79.0,0.374,Tire Builders (51-9197); Bioengineers and Biomedical Engineers (17-2031); Computer and Information Research Scientists (15-1221); Statistical Assistants (43-9111); Economists (19-3011); Marine Engineers and Naval Architects (17-2121); Agricultural Inspectors (45-2011); Parking Enforcement Workers (33-3041)
