system,n_soc,share_of_total,mean_xi_deg,mean_chi,top_occupations
0,29,10.1,70.0,0.383,Computer and Information Research Scientists; Statistical Assistants; Marine Engineers and Naval Architects; Environmental Engineers; Bioengineers and Biomedical Engineers
1,22,7.3,114.1,0.224,Security and Fire Alarm Systems Installers; Parking Enforcement Workers; Chemical Technicians; Crossing Guards and Flaggers; First-Line Supervisors of Construction Trades and Extraction Workers
2,62,21.4,188.2,0.528,"Automotive Glass Installers and Repairers; Helpers--Installation, Maintenance, and Repair Workers; Fence Erectors; Elevator and Escalator Installers and Repairers; Glaziers"
3,159,52.9,322.0,0.307,"Mail Clerks and Mail Machine Operators, Except Postal Service; Opticians, Dispensing; Library Technicians; Cargo and Freight Agents; Nurse Practitioners"
4,24,8.4,185.6,0.484,"Laundry and Dry-Cleaning Workers; Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders; Paper Goods Machine Setters, Operators, and Tenders; Locksmiths and Safe Repairers; Tool and Die Makers"
