system,n_soc,share_of_total,mean_xi_deg,mean_chi,top_occupations
0,65,22.4,189.6,0.52,"Automotive Glass Installers and Repairers; Helpers--Installation, Maintenance, and Repair Workers; Sailors and Marine Oilers; Elevator and Escalator Installers and Repairers; Glaziers"
1,31,10.4,143.9,0.23,"Economists; Parking Enforcement Workers; Cargo and Freight Agents; Switchboard Operators, Including Answering Service; Security and Fire Alarm Systems Installers"
2,32,11.1,64.5,0.379,Computer and Information Research Scientists; Marine Engineers and Naval Architects; Environmental Engineers; Agricultural Inspectors; Statistical Assistants
3,96,31.5,348.7,0.297,Radiation Therapists; Nurse Practitioners; First-Line Supervisors of Police and Detectives; Procurement Clerks; Audiologists
4,23,8.0,184.3,0.488,"Laundry and Dry-Cleaning Workers; Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders; Locksmiths and Safe Repairers; Tool and Die Makers; Shoe and Leather Workers and Repairers"
5,49,16.6,279.5,0.336,"Library Technicians; Opticians, Dispensing; Mail Clerks and Mail Machine Operators, Except Postal Service; Ushers, Lobby Attendants, and Ticket Takers; Optometrists"
