system,n_soc,share_of_total,mean_xi_deg,mean_chi,top_occupations
0,183,61.1,358.0,0.302,"Library Technicians; Opticians, Dispensing; Bioengineers and Biomedical Engineers; Environmental Engineers; Economists"
1,113,38.9,197.9,0.48,"Mail Clerks and Mail Machine Operators, Except Postal Service; Helpers--Installation, Maintenance, and Repair Workers; Laundry and Dry-Cleaning Workers; Automotive Glass Installers and Repairers; Cargo and Freight Agents"
