K,n_seeds,bic_rep_mean,bic_rep_std,bic_rep_min,bic_rep_max,aic_rep_mean,aic_rep_std,aic_rep_min,aic_rep_max,bic_w_mean,bic_w_std,bic_w_min,bic_w_max,aic_w_mean,aic_w_std,aic_w_min,aic_w_max,flow_between_mean,flow_between_std,flow_between_min,flow_between_max,min_sys_frac_mean,min_sys_frac_std,min_sys_frac_min,min_sys_frac_max,silhouette_mean,silhouette_std,silhouette_min,silhouette_max
1,20.0,337141.469930529,5.971980002273072e-11,337141.46993052907,337141.46993052907,337024.8540948072,0.0,337024.8540948072,337024.8540948072,3125.971790794464,0.0,3125.971790794464,3125.971790794464,3046.115781426649,0.0,3046.115781426649,3046.115781426649,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,,,,
2,20.0,326573.5208612913,493.24165280020554,326366.54686252715,327717.89816475933,326331.959487296,493.24165280020554,326124.9854885318,327476.336790764,3142.160200774416,3.553295034051484,3140.6719035136884,3150.40433027575,2976.7441813696555,3.5532950340514846,2975.2558841089285,2984.98831087099,25.540304930316076,0.3534507995364899,24.720227982048073,25.685024391775137,39.119790690614735,0.522600004424237,38.905813550662124,40.33232781701279,,,,
3,20.0,317323.6649648793,15.641615468857783,317298.49875616585,317355.9141391362,316957.1580526106,15.641615468857784,316931.9918438971,316989.40722686745,3169.338685100387,0.22809773307735184,3168.6305300262943,3169.492748945574,2918.3626556586823,0.22809773307735184,2917.6545005845896,2918.5167195038694,30.72338938876129,0.27863271651108645,30.171299672203723,31.026742759509997,12.230887130228407,0.40053662254432665,11.160042353052171,12.508768631030895,,,,
4,20.0,307342.33883947966,1152.217343139822,305721.10415699246,308349.3435310075,306850.8863889374,1152.217343139822,305229.65170645027,307857.8910804653,3189.908233966034,10.209262950712416,3175.617145626658,3198.9203105654256,2853.372194487384,10.209262950712416,2839.081106148008,2862.3842710867757,42.70891810745602,3.4679462125755918,37.624259456319244,46.0187822990755,10.884583478925917,0.6759408710292636,10.017473327368903,11.825619916605984,,,,
5,20.0,301288.5919231955,543.2784761349396,300946.0939693278,302585.3315429197,300672.19393437984,543.2784761349396,300329.69598051213,301968.933554104,3247.608267924738,5.281355051665106,3244.074657253454,3259.1745165601337,2825.5122184091424,5.281355051665107,2821.9786077378594,2837.078467044539,41.14015615212766,2.05897787559012,39.77938475992949,46.650506485593645,6.477747547589662,1.3369194407524136,2.389357459669789,7.264850210992037,,,,
6,20.0,298721.4145130798,549.0065269796218,297248.81728301174,300280.83985215036,297980.0709859907,549.0065269796218,296507.47375592263,299539.49632506125,3336.98721601502,4.50982867867011,3325.8147508341717,3352.3873167268916,2829.3311564624814,4.509828678670109,2818.1586912816324,2844.7312571743523,54.625443609395646,2.4883543925079863,46.16346278073601,56.77667941607743,7.117265276798766,2.258443126021928,2.7374390780244138,8.66727258408232,,,,
