system,n_soc,share_of_total,mean_xi_deg,mean_chi,top_occupations
0,148,49.0,329.9,0.311,"Opticians, Dispensing; Library Technicians; Nurse Practitioners; First-Line Supervisors of Police and Detectives; Audiologists"
1,113,38.8,187.1,0.446,"Mail Clerks and Mail Machine Operators, Except Postal Service; Helpers--Installation, Maintenance, and Repair Workers; Laundry and Dry-Cleaning Workers; Automotive Glass Installers and Repairers; Postal Service Mail Sorters, Processors, and Processing Machine Operators"
2,35,12.2,79.0,0.374,Tire Builders; Bioengineers and Biomedical Engineers; Computer and Information Research Scientists; Statistical Assistants; Economists
