source,destination,w,n_obs
11-1011,11-1021,105769.3457,28
11-1011,11-2011,10472.2955,3
11-1011,11-3021,31971.899,9
11-1011,11-3031,72734.9671,25
11-1011,11-3051,10689.4259,3
11-1011,11-3061,10246.574,2
11-1011,11-3071,12435.319599999999,3
11-1011,11-3121,5585.940200000001,3
11-1011,11-9013,14444.0656,6
11-1011,11-9021,32804.8603,12
11-1011,11-9041,10796.7395,2
11-1011,11-9051,10406.687,6
11-1011,11-9111,29131.9019,11
11-1011,11-9141,49639.2631,15
11-1011,11-9151,45963.558300000004,19
11-1011,13-1011,3647.6606,1
11-1011,13-1023,5433.5534,1
11-1011,13-1041,14413.3349,4
11-1011,13-1111,62488.0158,20
11-1011,13-1121,5249.0129,1
11-1011,13-1131,9880.243,3
11-1011,13-1161,57452.6866,16
11-1011,13-1199,34969.1499,11
11-1011,13-2011,46341.4526,15
11-1011,13-2031,3609.178,1
11-1011,13-2051,23400.6997,5
11-1011,13-2052,22683.279300000002,8
11-1011,15-1211,11520.9502,4
11-1011,15-1212,9493.9824,2
11-1011,15-1251,3004.6443,1
11-1011,15-1253,41410.6909,10
11-1011,15-2011,594.0166,1
11-1011,15-2031,16974.263,5
11-1011,17-2011,263.8676,1
11-1011,17-2051,22552.511300000002,6
11-1011,17-2061,5540.5784,1
11-1011,17-2121,3445.6833,1
11-1011,17-2199,25876.8615,6
11-1011,19-2021,4941.0223,1
11-1011,19-2099,16220.5176,5
11-1011,19-3011,917.098,1
11-1011,21-1093,6897.2303,1
11-1011,21-2011,4741.276,1
11-1011,21-2099,4597.4115,1
11-1011,23-1011,20873.956899999997,8
11-1011,23-2011,10469.0915,3
11-1011,27-2012,10817.3971,4
11-1011,27-3031,20370.5011,7
11-1011,27-3041,17682.6001,4
11-1011,27-3043,11727.7383,3
11-1011,29-1041,3718.4248,1
11-1011,29-1051,4577.0089,1
11-1011,29-1129,13050.4623,3
11-1011,29-1131,4377.002,1
11-1011,29-1141,19348.2107,6
11-1011,29-1171,2928.2058,1
11-1011,29-1292,3436.4556,1
11-1011,31-1122,11073.5237,3
11-1011,33-3051,3999.2362,1
11-1011,35-1011,3947.369,1
11-1011,35-1012,9457.115099999999,2
11-1011,35-2021,3281.3135,1
11-1011,35-3031,8296.6669,2
11-1011,35-9011,2000.3812,1
11-1011,35-9021,1724.6385,1
11-1011,37-1011,14932.2235,5
11-1011,37-1012,8033.7972,4
11-1011,39-2011,972.436,1
11-1011,39-2021,4378.6785,1
11-1011,39-4031,4133.1916,1
11-1011,39-5011,3463.5601,1
11-1011,39-5012,1063.3522,1
11-1011,39-9011,1270.539,1
11-1011,41-1011,108724.1848,26
11-1011,41-1012,79994.4755,21
11-1011,41-2031,36875.7802,8
11-1011,41-3011,5946.834000000001,2
11-1011,41-3021,18680.514499999997,4
11-1011,41-3031,16293.9875,6
11-1011,41-3091,20186.9588,5
11-1011,41-9099,16864.0231,3
11-1011,43-1011,14029.5412,6
11-1011,43-3031,20348.2185,5
11-1011,43-3051,2687.3439,1
11-1011,43-3099,16673.8787,4
11-1011,43-4051,22714.5014,7
11-1011,43-4081,4563.5128,1
11-1011,43-4131,7726.4556999999995,2
11-1011,43-4151,1950.7044,1
11-1011,43-4161,3918.1466,1
11-1011,43-4171,17957.505100000002,6
11-1011,43-4181,4280.8501,1
11-1011,43-4199,9857.464,2
11-1011,43-5051,3859.3714,1
11-1011,43-5061,5483.5506,1
11-1011,43-5071,4509.6838,1
11-1011,43-9021,4117.373100000001,2
11-1011,43-9061,16384.039,5
11-1011,43-9199,11119.031200000001,3
11-1011,47-1011,10797.611,2
11-1011,47-2031,23115.5349,7
11-1011,47-2061,31280.2124,9
11-1011,47-2073,2204.731,1
11-1011,47-2111,2072.1974,1
11-1011,49-1011,6185.6256,1
11-1011,49-2011,3837.8982,1
11-1011,49-2098,5146.0776,1
11-1011,49-3023,11913.5241,3
11-1011,49-3031,1540.9628,1
11-1011,49-9021,8275.0892,2
11-1011,49-9052,4835.4657,1
11-1011,49-9071,11586.1174,2
11-1011,51-1011,4078.8655,1
11-1011,51-3011,6982.4318,2
11-1011,51-4031,3767.537,1
11-1011,51-4041,2495.1356,1
11-1011,51-4199,7227.5532,2
11-1011,51-7021,4136.6221,1
11-1011,51-8021,4315.4385,1
11-1011,51-9061,677.6362,1
11-1011,51-9151,822.6726,1
11-1011,51-9195,5422.1879,1
11-1011,53-6031,4558.366,1
11-1011,53-7041,1581.7766,1
11-1011,53-7061,7154.6525,1
11-1011,53-7062,6685.542,2
11-1011,53-7065,29482.5371,6
11-1021,11-1011,104882.2934,31
11-1021,11-3021,39897.1579,10
11-1021,11-3031,86879.851,27
11-1021,11-3051,44515.2471,13
11-1021,11-3061,19065.3043,5
11-1021,11-3071,28029.2183,9
11-1021,11-3121,17310.1887,5
11-1021,11-9013,8582.9332,4
11-1021,11-9021,70780.4506,21
11-1021,11-9041,5622.7359,2
11-1021,11-9051,220316.6969,61
11-1021,11-9081,33430.3073,10
11-1021,11-9111,28315.920299999998,6
11-1021,11-9121,7282.6438,1
11-1021,11-9141,37252.7803,9
11-1021,11-9151,25445.7742,8
11-1021,11-9161,3361.072,1
11-1021,13-1011,11580.899,2
11-1021,13-1022,3095.5463,1
11-1021,13-1041,12287.29,4
11-1021,13-1081,11188.8312,2
11-1021,13-1111,56191.5328,13
11-1021,13-1121,3909.4208,1
11-1021,13-1141,2661.337,1
11-1021,13-1151,5138.3217,1
11-1021,13-1161,15534.2385,5
11-1021,13-1199,17194.6517,8
11-1021,13-2011,25096.2938,8
11-1021,13-2052,13530.743999999999,4
11-1021,15-1212,5758.977000000001,2
11-1021,15-1244,2884.0074,1
11-1021,15-1251,5151.9437,1
11-1021,15-1253,16342.5822,5
11-1021,15-2031,6302.1159,1
11-1021,17-2051,14699.8139,4
11-1021,17-2199,6529.4567,2
11-1021,19-3011,8209.9527,2
11-1021,19-3051,3301.3742,1
11-1021,21-2011,3416.2331000000004,2
11-1021,21-2021,10831.175500000001,2
11-1021,23-1011,15984.1248,5
11-1021,27-2011,4730.8792,1
11-1021,27-2012,14435.6834,3
11-1021,27-3031,447.3483,1
11-1021,27-3043,6509.302900000001,2
11-1021,27-4021,5531.2801,1
11-1021,29-1031,4169.0118,1
11-1021,29-1141,29366.4479,9
11-1021,29-2061,13907.2044,3
11-1021,31-1122,14548.343700000001,3
11-1021,31-9092,4796.7889,1
11-1021,31-9095,8376.1797,2
11-1021,31-9097,5501.3106,1
11-1021,33-1012,1141.0544,1
11-1021,33-3021,5101.9481,1
11-1021,33-3051,12946.1483,3
11-1021,33-9091,408.0231,1
11-1021,35-1012,16398.3493,6
11-1021,35-2021,4841.9783,1
11-1021,35-3011,8338.5695,2
11-1021,35-3031,19858.5486,7
11-1021,37-1011,6370.5381,2
11-1021,37-1012,18523.3051,5
11-1021,37-2012,3516.4617,1
11-1021,37-2021,953.5655,1
11-1021,39-2021,4742.9126,2
11-1021,41-1011,184903.2268,53
11-1021,41-1012,94753.5235,27
11-1021,41-2022,3562.6728,1
11-1021,41-2031,55586.5515,16
11-1021,41-3011,2024.6851,1
11-1021,41-3021,7804.9902,2
11-1021,41-3041,5195.1976,1
11-1021,41-3091,19115.3138,5
11-1021,41-9031,2580.9561,1
11-1021,41-9041,7594.2831,1
11-1021,41-9099,8448.5975,2
11-1021,43-1011,26607.687700000002,9
11-1021,43-2021,2188.224,1
11-1021,43-3011,1357.6809,1
11-1021,43-3021,852.9737,1
11-1021,43-3031,8599.679399999999,4
11-1021,43-3061,3765.915,1
11-1021,43-3071,575.7392,1
11-1021,43-3099,1482.1175,1
11-1021,43-4041,766.7834,1
11-1021,43-4051,28770.044,13
11-1021,43-4061,2057.0168,1
11-1021,43-4081,4699.7784,1
11-1021,43-4121,2611.3382,1
11-1021,43-4131,4313.0325,1
11-1021,43-4151,5188.023,1
11-1021,43-4171,7656.2646,2
11-1021,43-4199,3290.5868,1
11-1021,43-5021,598.5886,1
11-1021,43-9021,8423.711500000001,2
11-1021,43-9061,21301.2747,7
11-1021,43-9199,18310.7449,4
11-1021,45-1011,7998.474399999999,2
11-1021,47-1011,35716.792799999996,13
11-1021,47-2031,8332.966199999999,2
11-1021,47-2061,10261.9497,5
11-1021,47-2073,1985.3206,1
11-1021,47-2111,11766.0139,4
11-1021,49-1011,9921.4737,4
11-1021,49-2011,6845.404399999999,2
11-1021,49-3011,3807.9258,1
11-1021,49-3023,2065.785,1
11-1021,49-9021,8892.2828,2
11-1021,49-9031,490.9052,1
11-1021,49-9051,1878.6268,1
11-1021,49-9052,9193.073,2
11-1021,49-9071,12306.3546,4
11-1021,51-1011,40410.2822,12
11-1021,51-3011,1538.493,1
11-1021,51-3092,4539.607,2
11-1021,51-4111,3661.7677,1
11-1021,51-5112,8617.8069,2
11-1021,51-6093,3579.7128,1
11-1021,51-7011,1970.5958,1
11-1021,51-8031,3605.008,1
11-1021,51-9061,9192.2307,2
11-1021,53-3099,4366.1357,1
11-1021,53-6021,5015.2776,1
11-1021,53-7041,5058.853,1
11-1021,53-7062,23776.478,7
11-1021,53-7064,4076.5736,1
11-1021,53-7065,9028.1762,2
11-1021,53-7081,378.4069,1
11-2011,11-1011,2920.8504,1
11-2011,13-1121,358.5826,1
11-2011,13-1161,7367.6887,4
11-2011,13-2011,11515.8408,1
11-2011,15-1211,5392.9249,1
11-2011,15-1254,3779.1163,1
11-2011,27-2012,14753.2834,3
11-2011,27-3031,3207.9413,2
11-2011,35-3031,3345.4123,1
11-2011,41-3011,11394.104599999999,2
11-2011,43-3021,2711.8293,1
11-2011,43-3031,10515.7056,2
11-2011,43-4051,3518.9792,1
11-2011,43-5061,4471.9995,1
11-2011,43-9022,3664.2788,1
11-2011,43-9041,795.7923,1
11-2011,51-9198,3743.9668,1
11-2011,53-7062,6655.8873,1
11-3021,11-1011,68343.1438,17
11-3021,11-1021,28542.9922,7
11-3021,11-2011,4753.3955,1
11-3021,11-3031,54027.5513,14
11-3021,11-3051,18466.8924,4
11-3021,11-3061,554.7988,1
11-3021,11-3071,5856.0909,1
11-3021,11-3121,3669.6154,1
11-3021,11-9013,705.5928,1
11-3021,11-9021,5922.0214,2
11-3021,11-9041,24448.2956,8
11-3021,11-9051,6299.3066,2
11-3021,11-9111,9564.3557,3
11-3021,11-9121,4100.1069,1
11-3021,11-9141,4801.5911,1
11-3021,11-9151,373.5636,1
11-3021,13-1023,2935.9679,1
11-3021,13-1041,5403.8946,2
11-3021,13-1051,4300.7991,1
11-3021,13-1111,30689.746,7
11-3021,13-1151,3446.1756,1
11-3021,13-1161,21029.963799999998,6
11-3021,13-1199,7319.646200000001,3
11-3021,13-2011,11734.3233,3
11-3021,13-2051,3277.8997,1
11-3021,13-2053,451.6391,1
11-3021,13-2082,4586.7189,1
11-3021,13-2099,646.3419,1
11-3021,15-1211,26984.715900000003,6
11-3021,15-1212,17340.1463,6
11-3021,15-1241,15498.653,4
11-3021,15-1242,26458.7051,8
11-3021,15-1244,16631.429799999998,5
11-3021,15-1251,22653.8855,4
11-3021,15-1253,188304.4549,48
11-3021,15-1254,16487.0456,4
11-3021,15-2031,380.3719,1
11-3021,17-2051,4684.5541,1
11-3021,17-2081,5730.9812,1
11-3021,17-2121,3665.9712,1
11-3021,17-2141,5343.3467,1
11-3021,19-2021,3193.2431,1
11-3021,19-2099,10592.798900000002,3
11-3021,19-4031,3036.6024,1
11-3021,21-1092,2708.0661,1
11-3021,23-1011,7999.4379,2
11-3021,23-2011,4876.7085,1
11-3021,27-2012,6244.2356,2
11-3021,27-3043,1888.2062,1
11-3021,29-1129,5538.8304,3
11-3021,29-1141,16780.799,4
11-3021,31-9097,3907.0109,1
11-3021,35-3041,4195.093,1
11-3021,35-9011,6560.9042,1
11-3021,37-1012,1713.8061,1
11-3021,37-2012,4842.8487,1
11-3021,39-9011,632.0752,1
11-3021,41-1011,27822.9834,8
11-3021,41-1012,27575.1313,8
11-3021,41-2031,6340.293900000001,2
11-3021,41-3011,1819.3523,1
11-3021,41-3091,12699.8185,3
11-3021,41-9099,5056.1979,2
11-3021,43-1011,12845.1787,5
11-3021,43-3031,4286.1726,1
11-3021,43-4051,20712.6484,6
11-3021,43-4111,12162.8995,2
11-3021,43-4171,3669.0311,1
11-3021,43-5061,5660.4684,1
11-3021,43-5071,1391.6615,2
11-3021,43-9061,9933.707699999999,2
11-3021,43-9199,10259.9208,2
11-3021,47-1011,4857.1421,2
11-3021,47-2061,5051.329,1
11-3021,49-2011,7526.6185000000005,3
11-3021,49-2098,5512.2492,1
11-3021,49-9021,10518.6961,1
11-3021,49-9071,5384.0182,1
11-3021,51-4111,1138.0935,1
11-3021,51-9061,3607.5724,1
11-3021,51-9151,3253.2006,1
11-3021,53-7051,2910.3316,1
11-3021,53-7062,3699.4906,1
11-3021,53-7064,9311.9406,2
11-3021,53-7065,10018.081900000001,3
11-3031,11-1011,137034.1882,41
11-3031,11-1021,62375.7092,18
11-3031,11-3021,37508.5566,10
11-3031,11-3061,3047.608,1
11-3031,11-3071,5725.8628,1
11-3031,11-3111,5218.5797,1
11-3031,11-3121,23323.272,7
11-3031,11-3131,5847.5783,1
11-3031,11-9013,17337.079899999997,5
11-3031,11-9021,8710.483199999999,2
11-3031,11-9051,17531.3378,4
11-3031,11-9081,612.292,1
11-3031,11-9111,34249.620500000005,10
11-3031,11-9141,8991.1608,3
11-3031,11-9151,30510.773400000002,10
11-3031,13-1023,9474.6548,2
11-3031,13-1111,41975.1425,11
11-3031,13-1131,2499.9853,2
11-3031,13-1141,1181.832,1
11-3031,13-1161,6336.077,1
11-3031,13-1199,16770.7222,4
11-3031,13-2011,252514.3803,65
11-3031,13-2031,19122.293700000002,4
11-3031,13-2041,9905.716400000001,2
11-3031,13-2051,98395.8312,24
11-3031,13-2052,143484.1063,34
11-3031,13-2053,7926.3961,1
11-3031,13-2061,6193.6074,1
11-3031,13-2081,641.5637,1
11-3031,13-2082,5463.9349,2
11-3031,13-2099,41111.6264,10
11-3031,15-1211,28508.3142,7
11-3031,15-1212,4250.9153,2
11-3031,15-1242,5312.1041,1
11-3031,15-1244,7688.2707,2
11-3031,15-1251,8702.5259,2
11-3031,15-1253,34337.7874,7
11-3031,15-1254,9922.3763,2
11-3031,15-2011,2654.3467,1
11-3031,15-2031,6688.024899999999,2
11-3031,17-2141,1838.4458,1
11-3031,17-2199,15849.0116,3
11-3031,17-3031,949.9364,1
11-3031,19-3051,3903.6489,2
11-3031,21-1093,5305.366999999999,3
11-3031,23-1011,4231.3414,1
11-3031,23-2011,3612.8222,1
11-3031,27-2012,3455.1103,1
11-3031,27-3041,2666.5031,1
11-3031,27-3042,10591.434700000002,2
11-3031,27-3043,6236.4822,1
11-3031,27-4021,3510.9143,1
11-3031,29-1051,6738.982300000001,2
11-3031,29-1141,43668.1274,12
11-3031,29-1292,4256.8324,1
11-3031,29-2061,13457.9696,4
11-3031,31-1122,26115.7953,7
11-3031,31-9092,4966.3935,1
11-3031,33-2011,7537.902,2
11-3031,33-9021,1604.4256,1
11-3031,33-9093,4117.9378,1
11-3031,35-1012,1977.4713,1
11-3031,35-3011,680.4566,1
11-3031,35-3041,2488.1524,1
11-3031,35-9021,1346.0698,1
11-3031,37-1011,2522.8912,1
11-3031,37-1012,4829.3369,1
11-3031,37-2012,4837.3278,1
11-3031,39-9011,15671.7369,3
11-3031,41-1011,35671.2665,9
11-3031,41-1012,84924.4865,22
11-3031,41-2021,4708.4238,1
11-3031,41-2031,35529.4435,9
11-3031,41-3011,2406.95,1
11-3031,41-3021,14661.680100000001,6
11-3031,41-3031,64025.6475,16
11-3031,41-3091,14554.1087,3
11-3031,41-9099,4799.4787,1
11-3031,43-1011,58422.605,23
11-3031,43-3011,7255.5885,2
11-3031,43-3021,25343.035600000003,10
11-3031,43-3031,72215.4363,24
11-3031,43-3051,27812.5538,9
11-3031,43-3071,18638.941,9
11-3031,43-3099,69575.0924,14
11-3031,43-4041,7837.5981,3
11-3031,43-4051,95848.1896,25
11-3031,43-4131,4829.8453,1
11-3031,43-4161,397.167,1
11-3031,43-4171,8086.4061,2
11-3031,43-5021,4300.0438,1
11-3031,43-5061,5701.1214,1
11-3031,43-5071,4917.8435,1
11-3031,43-9021,11834.6917,3
11-3031,43-9022,6682.3813,2
11-3031,43-9041,3040.4028,1
11-3031,43-9061,31732.6593,10
11-3031,43-9199,17671.1864,5
11-3031,47-2031,3720.6652,1
11-3031,47-2061,2711.3883,2
11-3031,47-2141,4730.7101,1
11-3031,47-4051,4153.863,1
11-3031,49-3023,4075.2135,1
11-3031,49-3031,5399.7053,1
11-3031,49-9021,4694.2964,1
11-3031,49-9051,887.5035,1
11-3031,49-9052,4659.3228,1
11-3031,49-9071,10910.0651,3
11-3031,51-1011,9405.740099999999,3
11-3031,51-5112,5714.9297,1
11-3031,51-6011,4294.2136,1
11-3031,51-9061,9282.3462,2
11-3031,51-9198,563.7866,1
11-3031,53-2031,908.8635,1
11-3031,53-5011,3441.3778,1
11-3031,53-7061,3821.1123,1
11-3031,53-7062,12342.1912,3
11-3031,53-7065,4349.9794999999995,2
11-3051,11-1011,8200.5864,2
11-3051,11-1021,53540.7555,13
11-3051,11-3021,6585.0612,2
11-3051,11-3031,3126.2731,1
11-3051,11-9013,1764.1444,1
11-3051,11-9021,6501.8216,2
11-3051,11-9111,4060.4712,1
11-3051,11-9151,3815.7212,1
11-3051,13-1081,1707.6594,1
11-3051,13-1111,8498.0435,2
11-3051,13-1199,8388.4174,2
11-3051,13-2011,3540.7889,1
11-3051,15-1211,2623.3662,1
11-3051,17-2199,998.3258,1
11-3051,19-2099,5608.588,2
11-3051,27-3031,1645.9633,1
11-3051,29-1141,16134.7222,4
11-3051,31-1122,2278.2138999999997,2
11-3051,31-9092,4225.9416,1
11-3051,33-9021,2592.059,1
11-3051,35-9011,3839.7268,1
11-3051,41-1011,26436.2852,8
11-3051,41-1012,3308.9438,1
11-3051,41-3091,4294.0941,1
11-3051,43-1011,3955.1251,1
11-3051,43-3099,4014.2248,1
11-3051,43-4051,5444.016500000001,2
11-3051,43-4061,1780.1382,1
11-3051,43-4171,1063.6292,1
11-3051,43-4199,6344.3669,1
11-3051,43-5061,4558.6524,1
11-3051,43-5111,4735.357,1
11-3051,43-9061,3786.6994999999997,2
11-3051,47-1011,8335.639500000001,2
11-3051,47-2031,4244.8998,1
11-3051,47-2061,3989.858,1
11-3051,47-2111,3341.8246,1
11-3051,47-4011,4913.078,1
11-3051,49-1011,17696.9617,4
11-3051,49-3023,4066.6603999999998,2
11-3051,49-9021,5505.3018,1
11-3051,49-9071,4901.0889,1
11-3051,51-1011,44201.2438,11
11-3051,51-4111,4043.7134,1
11-3051,51-5112,1445.2881,1
11-3051,51-6093,4935.0911,1
11-3051,51-7011,1052.1259,1
11-3051,51-9061,18325.3862,6
11-3051,51-9111,2247.1202,1
11-3051,53-7061,4708.7368,1
11-3051,53-7062,21002.857500000002,4
11-3051,53-7064,4505.1459,1
11-3051,53-7065,4892.6727,1
11-3061,11-1011,5597.5424,2
11-3061,11-1021,387.8032,1
11-3061,11-3021,8075.641799999999,2
11-3061,11-3031,2119.461,1
11-3061,11-3071,7853.2586,3
11-3061,11-9013,3679.4841,1
11-3061,11-9141,9060.531500000001,2
11-3061,11-9151,4980.5601,1
11-3061,13-1021,1504.2715,1
11-3061,13-1022,1948.3991999999998,2
11-3061,13-1023,44573.0515,18
11-3061,13-1111,5515.3961,2
11-3061,13-1161,3582.2997,1
11-3061,13-1199,3376.6398,1
11-3061,13-2011,6771.9249,3
11-3061,15-1211,6894.4137,1
11-3061,15-1253,15380.5586,3
11-3061,17-2051,3143.2494,1
11-3061,17-2141,5001.6007,1
11-3061,17-2199,4524.8685,1
11-3061,21-1093,603.7023,1
11-3061,23-1011,6900.6006,2
11-3061,23-2011,13975.1469,3
11-3061,27-3043,10979.4543,3
11-3061,29-1141,10488.3329,4
11-3061,29-2081,4889.1716,1
11-3061,35-9021,4069.8021,1
11-3061,37-1012,2978.0116,1
11-3061,37-2012,1923.163,1
11-3061,41-1011,9091.4143,2
11-3061,41-1012,560.7002,1
11-3061,41-9099,4850.7866,1
11-3061,43-3051,5780.8081,1
11-3061,43-3061,24215.0098,5
11-3061,43-4051,3709.3135,1
11-3061,43-4151,2330.3396,1
11-3061,43-4171,5759.2487,2
11-3061,43-5021,4563.3582,1
11-3061,43-5051,4084.9242,1
11-3061,43-5052,4512.8738,1
11-3061,43-5061,1051.0088,1
11-3061,43-5071,2468.9924,1
11-3061,43-9021,4263.3934,1
11-3061,43-9041,3153.749,1
11-3061,43-9061,1505.6603,1
11-3061,47-1011,5206.1941,1
11-3061,49-1011,4330.2763,1
11-3061,49-3011,4940.9533,1
11-3061,51-4041,3895.3313,1
11-3061,53-3099,5207.1886,1
11-3061,53-7062,4858.3307,2
11-3061,53-7065,1748.9351,1
11-3071,11-1011,13797.6072,3
11-3071,11-1021,43451.406,10
11-3071,11-3031,3581.7772,1
11-3071,11-3051,2560.1917,1
11-3071,11-3061,2035.8475,1
11-3071,11-3121,5671.3978,1
11-3071,11-9013,2448.2033,1
11-3071,11-9021,20033.2162,5
11-3071,11-9051,6649.2649,2
11-3071,11-9081,4851.1373,1
11-3071,11-9111,9570.6572,3
11-3071,11-9141,6255.0194,2
11-3071,11-9151,4884.4084,1
11-3071,13-1022,4617.8866,1
11-3071,13-1023,4166.4735,1
11-3071,13-1041,2278.8201,1
11-3071,13-1081,35349.5425,9
11-3071,13-1111,3416.3194,2
11-3071,13-1151,2047.9158,1
11-3071,13-2011,4996.7227,1
11-3071,13-2052,10439.7651,2
11-3071,15-1211,6234.4908,2
11-3071,15-1251,3598.6921,1
11-3071,15-1253,6586.5134,1
11-3071,17-2051,7183.5462,1
11-3071,23-1011,3772.8506,1
11-3071,29-1051,7216.0996,2
11-3071,29-1071,3684.7186,1
11-3071,31-1122,8673.9071,2
11-3071,33-3021,3976.2316,1
11-3071,33-3051,4255.2864,1
11-3071,35-1011,4377.3907,1
11-3071,37-1011,4164.5013,1
11-3071,37-2012,10475.9815,3
11-3071,41-1011,35606.7744,11
11-3071,41-1012,29649.91,7
11-3071,41-2031,3855.9142,1
11-3071,41-3031,3740.9183,1
11-3071,41-9099,2503.1948,1
11-3071,43-1011,39459.0574,10
11-3071,43-3011,2660.6086,1
11-3071,43-4051,3555.9372000000003,2
11-3071,43-4151,5914.5292,2
11-3071,43-4171,2227.0196,1
11-3071,43-4181,3538.6484,1
11-3071,43-5021,4103.5973,2
11-3071,43-5041,2279.8756,1
11-3071,43-5061,9982.9157,2
11-3071,43-5071,17035.630100000002,4
11-3071,43-9061,1396.2835,1
11-3071,43-9071,1348.3757,1
11-3071,43-9199,897.8543,1
11-3071,45-1011,500.7378,1
11-3071,47-2031,10987.822,3
11-3071,47-2061,13390.117699999999,4
11-3071,47-2111,6754.6221000000005,2
11-3071,47-4051,3955.693,1
11-3071,49-9021,4102.2988,1
11-3071,49-9071,3934.2039,1
11-3071,51-1011,15774.2757,3
11-3071,51-4041,1116.4432,1
11-3071,51-6011,2698.2188,1
11-3071,53-7051,22465.0616,5
11-3071,53-7062,48032.3768,12
11-3071,53-7064,5392.8312000000005,2
11-3071,53-7065,12055.609199999999,2
11-3071,53-7199,4313.0598,1
11-3111,11-1011,5079.3139,1
11-3111,11-3121,6272.1471,1
11-3111,13-1141,5729.8322,3
11-3111,13-2051,5718.9431,1
11-3111,13-2052,3805.5251,1
11-3111,35-3031,2505.8807,1
11-3111,37-2021,9979.7976,2
11-3111,43-3021,3543.9917,1
11-3111,43-9061,4267.1003,1
11-3121,11-1011,17881.3656,4
11-3121,11-1021,12313.5799,4
11-3121,11-3031,13905.3128,3
11-3121,11-3051,10279.7167,3
11-3121,11-3071,5513.8714,1
11-3121,11-3111,5840.912899999999,3
11-3121,11-9013,4874.8069,1
11-3121,11-9051,3497.8471,2
11-3121,11-9081,3468.7291,1
11-3121,11-9111,9052.9852,3
11-3121,11-9151,3594.1803,2
11-3121,13-1041,3874.7956,1
11-3121,13-1141,1122.1525,1
11-3121,13-1199,387.4334,1
11-3121,15-1211,1129.4746,1
11-3121,15-1253,3498.8849,1
11-3121,15-2031,4030.3758,1
11-3121,17-2051,4633.355,1
11-3121,19-2099,466.7028,1
11-3121,21-1093,4196.2923,2
11-3121,23-1011,7040.3123,2
11-3121,29-1129,2860.5045,1
11-3121,29-1141,14190.703000000001,4
11-3121,31-1122,14422.436,3
11-3121,33-3051,9152.9572,2
11-3121,37-1011,6917.3436,1
11-3121,37-2012,7693.8307,2
11-3121,41-1011,5576.452,2
11-3121,41-1012,8125.3496000000005,2
11-3121,41-3091,5208.9298,2
11-3121,43-1011,14606.3051,4
11-3121,43-3011,7700.2591,1
11-3121,43-3031,5680.7846,2
11-3121,43-3051,4875.9655,1
11-3121,43-3071,4689.6778,1
11-3121,43-3099,2871.2985,1
11-3121,43-4051,1367.2288,1
11-3121,43-4161,37093.7391,10
11-3121,43-4171,1249.3719,1
11-3121,43-4199,6968.4668,1
11-3121,43-5021,4669.4536,1
11-3121,43-9061,16506.175300000003,4
11-3121,43-9199,10856.0089,3
11-3121,47-2031,1430.6556,1
11-3121,51-1011,10439.7279,1
11-3121,51-3011,1061.1406,1
11-3121,51-9061,829.0964,1
11-3121,53-7021,5248.1546,1
11-3121,53-7062,9134.973,3
11-3121,53-7065,9075.9661,2
11-3131,11-1011,4418.9087,2
11-3131,11-3061,6391.1536,2
11-3131,11-3121,7785.9866,2
11-3131,11-9051,4863.4876,2
11-3131,11-9151,4482.5763,1
11-3131,13-1023,4709.2809,1
11-3131,13-1151,22894.7012,5
11-3131,15-1211,4552.972,1
11-3131,15-1242,7781.0059,1
11-3131,19-2099,5005.687,1
11-3131,29-1127,2473.3191,1
11-3131,29-1141,7644.091,2
11-3131,41-2031,1227.6179,1
11-3131,43-1011,536.0482,1
11-3131,43-9061,8417.6443,2
11-3131,43-9199,5180.3407,2
11-3131,47-2061,5655.2844,1
11-3131,49-3011,7235.8141,1
11-3131,49-3023,2161.066,1
11-3131,53-3011,4806.5545,1
11-9013,11-1011,19141.6185,7
11-9013,11-1021,8214.6819,3
11-9013,11-3031,14333.4997,4
11-9013,11-3071,2915.4146,2
11-9013,11-3121,4536.0956,1
11-9013,11-9021,6401.4786,3
11-9013,11-9051,14286.6587,4
11-9013,11-9081,391.4571,1
11-9013,11-9141,8645.1393,5
11-9013,11-9151,6315.8687,1
11-9013,13-1081,287.1188,1
11-9013,13-1111,5312.216,2
11-9013,13-1131,1044.3853,1
11-9013,13-1151,3966.1779,1
11-9013,13-1161,2420.9133,1
11-9013,13-1199,10952.9797,3
11-9013,13-2011,14613.865399999999,5
11-9013,13-2081,3935.0948,1
11-9013,15-1211,5488.115,1
11-9013,15-1253,4951.1387,1
11-9013,17-2051,3672.4611,1
11-9013,17-2171,484.2625,1
11-9013,17-2199,5441.5198,2
11-9013,21-2021,4177.8123,1
11-9013,21-2099,3821.7846,1
11-9013,23-1011,2966.3444999999997,2
11-9013,23-2011,1801.6186,1
11-9013,25-4031,4565.1762,1
11-9013,27-3043,285.6359,1
11-9013,29-1071,4852.8523,1
11-9013,29-1122,3453.8721,1
11-9013,29-1141,12590.534,5
11-9013,29-2061,4995.7678,1
11-9013,31-1122,8169.5737,3
11-9013,31-9092,4546.8586,1
11-9013,33-1021,1801.2765,1
11-9013,33-3051,5541.902,1
11-9013,35-1012,5729.4227,2
11-9013,35-2021,784.2394,1
11-9013,35-3031,6023.5141,1
11-9013,35-3041,2201.6487,1
11-9013,35-9021,3481.0703,1
11-9013,37-1011,4971.9575,1
11-9013,37-2012,3218.833,1
11-9013,39-2011,16343.2825,4
11-9013,39-2021,18007.6324,10
11-9013,39-5011,3261.5191,1
